Title,JobTitle(Grouped),Position,Company,Location,City,HiringStatus,Date,Num1,Time,Num2,Days,DateSince,DateSinceFormated,,1 day,
Junior Financial Analyst,Financial Analyst,Junior,Telekom Romania Mobile,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,minute,0.000694445
Finance Business Partner,Finance Business Partner,Not specified,Vodafone,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,hour,0.0416667
Finance Manager,Finance Manager,Head,The Goodyear Tire & Rubber Company,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,day,1
Finance Business Partner,Finance Business Partner,Not specified,eMAG,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,week,7
Senior Finance Business Partner,Finance Business Partner,Senior,EDUROM,"Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,month,30
Financial Controller Global Services,Financial Controller ,Not specified,Bosch Romania,"Timişoara, Timiş, Romania",Timişoara,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,year,365
Finance Business Partner,Finance Business Partner,Not specified,Decathlon România,"Bucharest, Bucharest, Romania",Bucharest,Not specified,5 months ago,5,month,30,150.00,45105.00,6/28/2023,,,
Senior Corporate Financial Analyst,Financial Analyst,Senior,Alpha Bank Romania,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,today,
Finance Business Partner,Finance Business Partner,Not specified,Hays,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,45255,
Trade Finance Professional,Trade Finance Professional,Senior,Euro Exim Bank,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,6 days ago,6,day,1,6.00,45249.00,11/19/2023,,,
Professional Central & Country Finance,Finance Professional ,Senior,OMV Petrom,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Head of Corporate Development,Corporate Development,Head,N-iX,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,5 months ago,5,month,30,150.00,45105.00,6/28/2023,,,
Junior Financial Controller,Financial Controller,Junior,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Financial Specialist,Financial Specialist,Senior,Tremend Software Consulting,Bucharest Metropolitan Area,Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Financial Planning Analyst,Financial Analyst,Not specified,The Goodyear Tire & Rubber Company,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Senior Analyst FP&A,Financial Analyst,Senior,The Goodyear Tire & Rubber Company,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Business Controller,Financial Controller,Not specified,E-INFRA,"Bucharest, Bucharest, Romania",Bucharest,Not specified,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Senior Business Controller,Financial Controller,Senior,DB Schenker,"Bucharest, Romania",Bucharest,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Relationship Manager Corporate Banking,Corporate Banking Relationship Manager ,Head,CREDIT EUROPE BANK (ROMANIA) S.A.,Bucharest Metropolitan Area,Bucharest,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Controller,Financial Controller,Not specified,Generali,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Manager,Finance Manager,Head,Memorial Healthcare Group,"Bucharest, Romania",Bucharest,Be an early applicant,21 hours ago,21,hour,0.0416667,0.88,45254.12,11/24/2023,,,
FP&A Analyst,Financial Analyst,Not specified,"First Brands Group, LLC",Bucharest Metropolitan Area,Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Accountant,Accountant,Not specified,FLOWX.AI,"Bucharest, Bucharest, Romania",Bucharest,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
"Manager, Accounting",Accounting Manager,Head,Braze,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Senior Financial Controller,Financial Controller,Senior,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Group Financial & Reporting Consolidation Senior Analyst,Financial and Reporting Analyst,Senior,eMAG,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Accountant,Accountant,Junior,Rödl & Partner Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
General Accountant,Accountant,Not specified,SLB,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Accountant,Accountant,Not specified,SoftOne Technologies S.A.,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Financial Controller,Financial Controller,Not specified,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Team Leader - General Ledger,Accountant,Head,Bosch Romania,"Timişoara, Timiş, Romania",Timişoara,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Pricing Analyst- Product Marketing,Pricing Analyst,Not specified,Bitdefender,Bucharest Metropolitan Area,Bucharest,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Financial Controller,Financial Controller,Not specified,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance & Strategy Manager,Finance and Strategy Manager,Head,Revolut,Romania,Not specified,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Junior Accounting & Financial Consultant - Nexia ABS Financial Solutions,Financial Consultant ,Junior,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Commercial Finance Business Partner,Finance Business Partner,Not specified,Telekom Romania Mobile,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
GL Accountant,Accountant,Not specified,GSD Solutions,Romania,Not specified,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Senior Financial Analyst (FP&A),Financial Analyst,Senior,Sameday Romania,"Bucharest, Romania",Bucharest,Not specified,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Trader Assistant,Trader Assistant,Junior,EveryMatrix,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Experienced Financial Controller,Financial Controller,Senior,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Financial Planning & Analysis Manager - Finance,Financial Analyst,Head,Signant Health,Romania,Not specified,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Specialist,Finance Specialist,Senior,HONOR,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Business Partner,Finance Business Partner,Not specified,Sameday Romania,"Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Senior Financial Controller,Financial Controller,Senior,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Contract Officer (Saudi Arabia),Contract Officer,Not specified,Eram Talent,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Financial Analyst,Financial Analyst,Not specified,UNIQA Asigurari SA,"Bucharest, Romania",Bucharest,Not specified,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Chief Executive Officer,Chief Executive Officer,Head,Lugera The People Republic Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Chief Operations Officer,Chief Operations Officer,Head,Remotivate,Romania,Not specified,Not specified,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Operational Controller,Financial Controller,Not specified,MAS PLC,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Reporting Analyst – Financial Advisory,Financial Advisor,Not specified,Mazars in Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Project Development Manager,Project Development Manager,Junior,MYTILINEOS S.A.,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Investment Analyst,Investment Analyst,Not specified,Prime Kapital Development,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Project Finance Associate - Renewable Energy,Finance Associate,Junior,LSP Renewables,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Assistant to CEO - $20.000-$36.000/year,Assistant to CEO,Head,White Sand SRL,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Manager - [on-site],Finance Manager ,Head,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Treasury Analyst,Treasury Analyst,Not specified,METRO Romania,"Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Business Support Controller with English,Financial Controller ,Not specified,Michelin,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Financial Controller,Financial Controller,Not specified,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Cost Controller (Oil and Gas company),Financial Controller,Not specified,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Cost Controller,Financial Controller,Not specified,E-INFRA,"Bucharest, Bucharest, Romania",Bucharest,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Analyst,Financial Analyst,Not specified,Nidec Oradea,"Oradea, Bihor, Romania",Oradea,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior BI Consultant,Financial Consultant,Junior,Delbridge Solutions,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Cost Controller,Financial Controller,Not specified,E-INFRA,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Business and Operational Controller,Financial Controller,Not specified,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Financial Analyst – Reporting & Controlling,Financial Analyst,Not specified,Smithfield Romania,"Timişoara, Timiş, Romania",Timişoara,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Financial Analyst,Financial Analyst,Not specified,Vodafone,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Financial Business Controller,Financial Controller,Not specified,Adecco,"Petrăchioaia, Ilfov, Romania",Petrăchioaia,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Operations Manager,Finance Operations Manager,Head,Siena AI,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Associate Financial Analyst,Financial Analyst,Junior,RWS Group,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Junior Accountant,Accountant,Junior,La Lorraine Bakery Group NV,"Câmpia Turzii, Cluj, Romania",Câmpia Turzii,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
