Job,Company,Location,Status,Date
junior financial analyst,Telekom Romania Mobile,Bucharest,Actively Hiring,2023-11-01
finance business partner,Vodafone,Bucharest,Actively Hiring,2023-11-01
finance manager,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
finance business partner,eMAG,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
senior finance business partner,EDUROM,Bucharest,Actively Hiring,2023-10-25
financial controller global services,Bosch Romania,Timişoara,Actively Hiring,2023-11-17
finance business partner,Decathlon România,Bucharest,Not specified,2023-06-25
senior corporate financial analyst,Alpha Bank Romania,Bucharest,Actively Hiring,2023-11-01
finance business partner,Hays,Bucharest,Actively Hiring,2023-11-01
trade finance professional,Euro Exim Bank,Bucharest,Be an early applicant,2023-11-16
professional central country finance,OMV Petrom,Bucharest,Be an early applicant,2023-11-21
head corporate development,N-iX,Bucharest,Actively Hiring,2023-06-25
junior financial controller,TotalSoft,Bucharest,Not specified,2023-09-23
financial specialist,Tremend Software Consulting,Bucharest Metropolitan Area,Be an early applicant,2023-09-23
financial planning analyst,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-15
senior analyst fpa,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
business controller,E-INFRA,Bucharest,Not specified,2023-08-24
senior business controller,DB Schenker,Bucharest,Actively Hiring,2023-11-18
relationship manager corporate banking,CREDIT EUROPE BANK (ROMANIA) S.A.,Bucharest Metropolitan Area,Not specified,2023-11-01
financial controller,Generali,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
finance manager,Memorial Healthcare Group,Bucharest,Be an early applicant,2023-10-28
fpa analyst,"First Brands Group, LLC",Bucharest Metropolitan Area,Actively Hiring,2023-10-25
accountant,FLOWX.AI,Bucharest,Not specified,2023-11-01
manager accounting,Braze,Bucharest,Be an early applicant,2023-11-20
senior financial controller,Worldline,Bucharest,Actively Hiring,2023-11-01
group financial reporting consolidation senior analyst,eMAG,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
junior accountant,Rödl & Partner Romania,Bucharest,Actively Hiring,2023-11-15
general accountant,SLB,Bucharest,Actively Hiring,2023-10-23
accountant,SoftOne Technologies S.A.,Bucharest,Not specified,2023-07-25
financial controller,Worldline,Bucharest,Actively Hiring,2023-11-15
team leader general ledger,Bosch Romania,Timişoara,Be an early applicant,2023-11-17
pricing analyst product marketing,Bitdefender,Bucharest Metropolitan Area,Not specified,2023-11-08
financial controller,Worldline,Bucharest,Actively Hiring,2023-11-08
finance strategy manager,Revolut,Romania,Actively Hiring,2023-11-21
junior accounting financial consultant nexia abs financial solutions,TotalSoft,Bucharest,Not specified,2023-07-25
